snapshot,percentile,ix,iy,iz,omega_mag,R_max,sigma_abs,sigma_signed,C_far
t=0,50.0,49,156,159,17.56955810816868,32,9.040070334575974,2.8199158195187333,0.311935163682662
t=0,50.0,49,156,159,17.56955810816868,48,12.712812882066507,3.833853484688063,0.30157397267258906
t=0,50.0,49,156,159,17.56955810816868,64,15.455224198586853,3.840905937576774,0.24851829311722096
t=0,50.0,49,156,159,17.56955810816868,80,17.663043474336185,3.8775251275448137,0.2195275765005464
t=0,50.0,49,156,159,17.56955810816868,96,19.390490118758958,3.7774967662092087,0.19481182492415403
t=0,50.0,49,156,159,17.56955810816868,112,20.789198825062286,3.759397957461145,0.18083419130750852
t=0,50.0,201,160,255,14.989037090291344,32,9.899592551045528,0.8438770396977583,0.08524361334534256
t=0,50.0,201,160,255,14.989037090291344,48,13.293775326803795,1.7549471776708705,0.13201270026975928
t=0,50.0,201,160,255,14.989037090291344,64,16.315431365438414,2.5958735169695277,0.15910541736999143
t=0,50.0,201,160,255,14.989037090291344,80,18.368933026916828,3.0124905601483034,0.16399921300458578
t=0,50.0,201,160,255,14.989037090291344,96,19.953528163524222,2.999126337405002,0.15030556565367295
t=0,50.0,201,160,255,14.989037090291344,112,21.41117083897559,3.1143325208923187,0.14545362999127434
t=0,50.0,116,59,90,18.101277937366365,32,13.510410136614668,3.313102746695076,0.24522591936096821
t=0,50.0,116,59,90,18.101277937366365,48,16.891571088513487,3.279937587857906,0.19417599290620816
t=0,50.0,116,59,90,18.101277937366365,64,19.497416400176586,3.484516554663107,0.17871683525369794
t=0,50.0,116,59,90,18.101277937366365,80,21.61596818705069,3.844427760895793,0.17785128695733576
t=0,50.0,116,59,90,18.101277937366365,96,23.233527048000013,3.897596140033998,0.16775740213621634
t=0,50.0,116,59,90,18.101277937366365,112,24.6037514154671,3.881153855033701,0.15774642612401868
t=0,50.0,109,182,209,19.517107293061308,32,10.584334959910196,0.5033993632565912,0.04756079292305979
t=0,50.0,109,182,209,19.517107293061308,48,14.059345952809924,0.023827127610080164,0.0016947536315028962
t=0,50.0,109,182,209,19.517107293061308,64,16.62866445278797,0.218330581359795,0.013129772506967004
t=0,50.0,109,182,209,19.517107293061308,80,18.452128663010004,0.17238658966347467,0.009342368721341558
t=0,50.0,109,182,209,19.517107293061308,96,19.976893332132246,0.11353633885792495,0.005683383145231351
t=0,50.0,109,182,209,19.517107293061308,112,21.296980989326364,0.04923527359877077,0.0023118428674677666
t=0,50.0,168,250,227,19.266036437792327,32,11.218424037297739,1.7041239431020558,0.15190404083821207
t=0,50.0,168,250,227,19.266036437792327,48,14.71700934056136,1.931736129008366,0.1312587417937103
t=0,50.0,168,250,227,19.266036437792327,64,17.488017090417756,1.443320484560145,0.08253196901042523
t=0,50.0,168,250,227,19.266036437792327,80,19.718260794618224,0.7280114437940022,0.036920672232548066
t=0,50.0,168,250,227,19.266036437792327,96,21.501124831329392,0.3177640247855851,0.0147789488819008
t=0,50.0,168,250,227,19.266036437792327,112,22.952195470082966,0.3938682377292739,0.01716037309993553
t=0,50.0,231,191,248,17.036257164694756,32,10.230858426544938,1.8320348399930257,0.17906951338898763
t=0,50.0,231,191,248,17.036257164694756,48,13.46915411121611,2.4789607573622723,0.18404724876508602
t=0,50.0,231,191,248,17.036257164694756,64,16.03486079313311,3.034615816734271,0.18925114822536146
t=0,50.0,231,191,248,17.036257164694756,80,18.063775478245514,3.5088209566682895,0.19424626711586496
t=0,50.0,231,191,248,17.036257164694756,96,19.65227992530238,3.68604852721538,0.18756340441037475
t=0,50.0,231,191,248,17.036257164694756,112,20.937659523859562,3.7598917192474266,0.1795755497391116
t=0,50.0,227,75,173,19.18374864659311,32,9.838351979278498,2.2199725864521724,0.22564476155436103
t=0,50.0,227,75,173,19.18374864659311,48,13.701449852444268,2.4332246264890807,0.17758884298328514
t=0,50.0,227,75,173,19.18374864659311,64,16.529396706281783,2.467083359339235,0.1492542893838135
t=0,50.0,227,75,173,19.18374864659311,80,18.542368203907138,2.5666700688492066,0.1384219124884152
t=0,50.0,227,75,173,19.18374864659311,96,20.170586545637004,2.626647136136417,0.13022165370320246
t=0,50.0,227,75,173,19.18374864659311,112,21.521406320411362,2.6257298388378487,0.12200549535406291
t=0,50.0,71,246,249,28.883688942042593,32,14.441605187535782,1.8378936543778228,0.12726380693221462
t=0,50.0,71,246,249,28.883688942042593,48,18.068408810729174,2.1405626008050045,0.11846990087660184
t=0,50.0,71,246,249,28.883688942042593,64,20.47549081014464,2.494139004636291,0.12181095084668558
t=0,50.0,71,246,249,28.883688942042593,80,22.390500313129564,3.0218724009495976,0.1349622544690349
t=0,50.0,71,246,249,28.883688942042593,96,24.069882752400336,3.2339460169593295,0.1343565338571011
t=0,50.0,71,246,249,28.883688942042593,112,25.422862511364286,3.242384349227087,0.12753813020771
